Student,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Lab1,Lab2,Lab3,Lab4,Lab5,Lab6
#0900,10,10,10,13.86,10,10,25,40,15,9,7,7.1,7.4,9,8.8
#0901,10,10,10,20,10,10,20.86,36.06,14.94,8.8,8.9,8.6,8.5,8,7.8
#0902,10,10,10,20,10,10,25,40,15,8,9.6,7.266666667,9,7,9.6
#0903,10,10,10,20,8.27,10,25,3.6,12.05,9,6.975,6.5,8.5,8,6.466666667
#0904,10,10,10,10.98,10,10,25,40,15,9,10,8.733333333,9.5,9,9.8
#0905,10,10,10,0,9.46,10,8.83,40,15,9,4.45,6.266666667,3.133333333,3,7.2
#0906,10,7.3,10,20,7.07,10,25,21.63,1.88,8,6.55,9.3,0,0,6.2
#0907,10,10,10,20,10,10,25,40,15,9,9.266666667,9,9,8,10
#0908,10,10,10,20,10,10,25,40,15,9.666666667,9,10,9.35,10,9
#0909,10,10,10,20,8.86,10,8.14,12.09,14.97,7,9.8,7.5,5.6,10,9
#0910,10,10,10,20,10,0,7.29,4.6,9.5,7,10,8.6,5.9,3.75,8
#0911,10,10,10,20,10,10,17.02,19.65,15,9.8,8.75,9.066666667,8,5,4.4
#0912,10,10,10,20,10,10,25,40,15,8,9.8,9.6,8.8,7,9.466666667
#0913,10,10,10,9.32,9.95,9.53,4.72,0,2.46,9.666666667,8.4,9.35,0,7,8
#0914,10,10,10,20,10,10,14.03,33.71,15,5.5,8.25,8.466666667,8,6,9
#0915,10,10,10,9.41,10,8.39,19.72,38.06,15,10,9.541666667,8.333333333,7.8,7,10
#0916,10,10,10,20,10,10,25,40,15,8.4,7.433333333,4.3,5.6,7,8.2
#0917,10,10,10,20,10,10,21.74,40,15,9.466666667,9.35,8.066666667,7,8,8.6
#0918,10,10,10,20,10,10,6.26,40,15,10,9,8.4,9,7,9.8
#0919,10,10,10,20,10,10,25,40,15,10,8,7.533333333,7.933333333,8,9
#0920,10,10,10,20,10,10,25,40,15,7.6,9.8,8.433333333,7.6,8,9.6
#0921,10,10,10,19.3,10,9.98,15.62,40,14.08,8.6,9,7.033333333,4.2,5,7.6
#0922,10,10,10,20,10,10,25,40,15,9,10,9.066666667,9,9,8.4
#0923,10,10,10,20,10,10,25,40,15,8,7.332142857,0,8.8,9,10
#0924,9.19,0,10,20,7.75,0,0,0,11.71,9.8,8.833333333,8.5,8,2,8.883333333
#0925,10,10,10,20,10,10,25,40,15,10,8,10,8,7,9.2
#0926,10,10,10,20,10,10,23.18,13.87,12.2,8.5,0,8.6,8.6,7.333333333,10
#0927,10,10,10,12.72,10,10,25,40,15,9,9.433333333,9.1,7.5,10,8.4
#0928,10,10,10,20,10,10,25,40,15,10,8.633333333,8.7,8.5,9,9.6
#0929,10,10,10,12.24,3.98,5.81,8.55,11.38,10.69,0,5.9,7.866666667,9,8,8.333333333
#0930,10,10,10,20,10,10,25,40,15,8.8,8.2,5.2,6.8,7,10
#0931,10,10,10,10.9,10,10,19.4,40,15,9,9.264285714,6.3,7.6,8,9.6
#0932,10,10,10,20,5.65,10,11.41,.99,15,8,8.35,8.066666667,6,2.333333333,7.3
#0933,10,10,10,20,10,10,3.72,32.31,15,0,8.75,9.4,6.6,7,7.2
#0934,10,10,10,20,10,10,9.09,24.79,15,7,6.65,0,2.4,2,2.9
#0935,10,10,10,20,10,10,20.17,40,15,8,10,8.633333333,7.8,9,9.6
#0936,10,10,10,20,10,10,25,40,15,10,9.8,8.566666667,7.8,8,8
#0937,10,10,10,20,10,0,25,33.63,15,9,9,9.3,8.8,7,9
#0938,10,10,0,0,5.13,10,4.73,0,0,6,9.466666667,7.133333333,5.133333333,2,9
#0939,10,10,10,20,10,10,25,35.64,15,9,9.4,7.2,8.5,.25,7.35
#0940,10,10,10,20,10,10,25,21.67,10.17,9.8,9.5,7.95,7.5,8,6.95
#0941,10,10,10,20,10,10,25,40,15,9,8.6,8.033333333,8.8,6,10
#0942,10,10,10,20,10,10,24.71,39.34,15,9,8.666666667,8.6,8.8,7,8.8
#0943,10,10,10,9.38,9.96,10,24.3,2.2,15,9,7.8,8.866666667,5.6,7,8.4
#0944,10,10,10,20,10,10,25,40,14.19,8,10,8.6,8.1,4,8.8
#0945,10,10,10,20,10,10,20.23,40,15,8,9,7.2,5.5,8,7.8
#0946,10,10,10,20,10,10,25,40,14.9,10,9.3,6.8,10,9,10
#0947,10,10,0,14.73,10,10,20.16,40,15,10,5.15,9.4,8.5,7,9.4
#0948,10,10,10,20,10,10,5.92,5.94,14.72,8.571428571,10,9.066666667,6,2,7.8
#0949,10,10,10,20,10,10,0,29.25,15,8,8.4,8.6,8.5,4,10
#0950,10,10,10,20,10,10,25,18.78,15,6.8,7,7.066666667,7.8,3,7.6
#0951,10,10,10,20,10,10,25,40,15,10,10,9.6,8.8,7,8.8
#0952,10,10,10,20,10,10,25,40,15,10,9,9.133333333,8.5,9,9
#0953,10,10,10,9.98,10,9.77,9.7,40,15,9.8,8.666666667,8.066666667,8.8,9,8.8
#0954,10,10,10,13.64,9.93,10,25,40,14.79,10,8,7.683333333,8,8,7.2
#0955,10,10,10,20,10,10,22.01,36.5,15,8.6,9,9.6,9.6,6,7.266666667
#0956,10,10,10,20,10,10,25,40,15,10,8.55,8.6,9,10,9.6
#0957,10,10,10,20,10,10,25,23.11,15,9,8.407142857,9.4,9.6,6,10
#0958,10,10,10,18.95,0,7.3,11.31,0,4.77,10,7.6,9,7.8,10,7.4
#0959,10,10,10,20,10,10,25,40,15,9,9.266666667,10,8.6,0,9.75
#0960,10,10,10,20,10,10,25,40,15,9,8.371428571,9.4,10,8,9.6
#0961,10,10,10,20,10,10,25,40,0,9,5.866666667,9.3,10,1,7.933333333
#0962,10,10,10,20,10,10,25,40,15,8,9.5,10,8.8,7,8
#0963,10,10,10,20,10,10,25,40,14.13,9,8,8.066666667,7.266666667,8,6.35
#0964,19.57,29.45,24.71,19.445,19.94,18.56,16.31,18.9166666666667,18.23,9,8.4,8.083333333,8.333333333,9,10
#0965,19.87,25.32,18,14.835,15.83,17.39,13.885,13.55,5,9,8.4,9.1,7.8,9,8.666666667
#0966,19.31,29.44,25,9.5,18.9,19.44,18.815,17.2833333333333,17.99,9.8,0,6.9,7.5,7,8.733333333
#0967,19.25,29.66,24.75,19.945,19.06,18.69,18.71,18.64,17.91,10,9.8,9.6,8.8,9,8.8
#0968,18.69,27.69,22.25,18.19,17.84,6.14,18.44,18.1666666666667,15.97,9,8.566666667,7.7,9,2,6
#0969,19.14,29.73,24.83,19.865,19.6,17.05,18.565,18.89,17.5,10,8.6,9.266666667,9,7,9
#0970,19.58,29.67,24.5,20,20,18.5,18.9,18.7133333333333,18.15,10,9,9.066666667,9.6,9.333333333,8.8
#0971,18.93,22.09,23.92,20,18.94,18.96,16.545,12.77,1.76,9.8,10,8.9,7.8,0,7.133333333
#0972,19.53,29.68,25,18.455,19.57,19.67,18.675,18.82,17.04,9,9.4,8,9.666666667,6,8.133333333
#0973,19.15,29.71,21.08,19.515,19,17.13,17.81,14.0833333333333,17.02,9,8.6,8.466666667,4.6,7,8.8
#0974,18.85,29.96,25,19.945,19.29,19.67,19.25,19.3066666666667,18.62,10,9.057142857,9.15,8.25,8,10
#0975,18.83,29.41,24.92,20,19.5,19.07,15.955,18.9166666666667,18.42,9,9.257142857,10,7.2,9,8.8
#0976,19.06,29.43,24.87,19.945,19.29,19.15,19.21,17.97,18.06,6.4,9.8,8.866666667,10,6.666666667,8.6
#0977,17.7,13.95,16.86,10.51,7,18.08,13.32,5.66666666666667,17.33,9,10,0,9.5,9,9.8
#0978,19.04,27.22,20.17,18.665,17.87,1.29,14.625,12.3333333333333,16.68,7,9.2,7.2,8.5,7,7.8
#0979,19.79,29.93,24.67,20,20,19.89,19.115,18.9733333333333,18.33,10,9.8,9.466666667,8.75,9,9
#0980,18.49,29.88,24.75,19.945,19.75,19.89,18.95,19.0566666666667,17.59,10,9.6,9.4,7.6,9,9.4
#0981,18.42,24.6,24.08,19.835,18.98,19.83,18.23,13.61,18.28,9.8,9.3,8.466666667,9,8,8.8
#0982,19.37,10.93,23.75,0,0,14.08,13.145,13.2233333333333,18.81,9.8,9.4,7.733333333,9.466666667,6,8.8
#0983,18.65,28.96,23.67,19.195,19.17,16.89,16.685,18.03,17.2,8.8,7.675,8.866666667,7.6,9,9.75
#0984,17.25,28.76,22,17.605,19.18,16.13,15.085,13.46,16.25,10,8.566666667,8.266666667,0,8,7.6
#0985,19.42,29.28,25,16.375,15.5,2.88,13.78,11.7066666666667,16.77,9.5,8.8,8.8,9.8,7,9.8
#0986,18.51,24.15,17.92,6.44,.41,11.87,14.13,4.27,7.89,9.8,9.6,7.866666667,8.2,0,8.8
#0987,19.75,29.48,22.5,19.595,19.6,18.61,9.72,18.1933333333333,16.08,9,9.8,7.1,8.8,7,8.8
#0988,19.4,29.34,24.92,20,19.58,19.33,18.61,18.5533333333333,17.65,9.8,9.8,9.8,7.55,10,8.883333333
#0989,19.76,29.8,21,19.835,19.37,19.72,18.61,18.2833333333333,17.6,9,8.8,9.8,6.733333333,6,9.266666667
#0990,17.04,4.47,22.67,17.28,17.44,19.39,15.695,17.4166666666667,18.12,10,8.8,9.066666667,7,7,10
#0991,18.4,29.53,24.67,19.835,19.12,18.86,18.195,10.3633333333333,14.84,8,9.55,8.6,8.266666667,0,6.8
#0992,18.71,29.56,24.83,20,19.44,19.4,18.785,14.03,18.89,9,9.2,8.6,8.3,0,8.4
#0993,18.58,22.11,19.08,19.56,16.99,15.7,14.84,8.83666666666667,17.07,9,9.5,9,6,0,7.8
#0994,18.57,29.67,24.92,19.945,19.52,19.17,18.355,17.4433333333333,16.18,9,9.8,9.6,9.133333333,7,9.75
#0995,19.58,29.45,25,19.75,19.67,19.95,17.92,17.0466666666667,18.67,10,9,8.95,8,7,0
#0996,19.79,29.64,24.83,19.64,17.82,18.38,17.835,18.3233333333333,16.45,10,9,9.4,9.75,4,6.2
#0997,19.42,26.39,20.44,18.905,19.5,18.37,18.615,6.52333333333333,0,10,9.4,9.8,9.05,0,7.6
#0998,19.31,29.82,20.33,17.21,0,14.62,17.765,10.81,16.53,6.6,9.8,7.133333333,6.1,7,9.6
#0999,17.99,29.57,24.83,19.835,20,19.22,18.875,19.1366666666667,18.5,10,10,9.8,7.5,7,9.6
#1000,19.18,28.86,24.83,19.39,20,3,17.095,15.3933333333333,18.77,9,9.8,9.8,8.5,8,9
#1001,19.6,29.93,24.92,20,19.83,20,19.125,19.3333333333333,18.51,10,9.666666667,9.8,10,8,10
#1002,19.17,14.88,21.92,18.59,18.08,17.14,16.32,0,0,7.8,7.466666667,8.466666667,5.8,0,0
#1003,19.35,29.64,24.83,19.995,18.05,19.14,18.555,18.7233333333333,16.36,9,6.683333333,9.2,7.266666667,9,10
#1004,19.55,29.32,19.83,18.8,19.83,16.79,17.26,14.89,17.33,10,9.666666667,8.6,9.75,8,8.6
#1005,18.46,27.65,20.75,19.4,10.59,15.47,14.85,9.35,18.95,9,6.4,7.8,9.8,6.5,9
#1006,18.66,26.55,21.75,10.835,2.61,18.36,17.905,16.1066666666667,8.93,10,8.1,9.4,8.8,8,8.8
#1007,18.92,29.07,23.33,19.835,19.25,18.08,18.215,15.0166666666667,14.51,10,7,9.633333333,8.5,8,9.666666667
#1008,19.11,29.9,25,19.925,18.22,18.89,18.99,16.5166666666667,18.23,10,8.5,8.9,7.5,9,8.4
#1009,19.82,28.38,24.58,19.835,19.44,19.23,17.815,18.86,17.15,9,9.6,9.6,8.8,4.5,9.666666667
#1010,19.83,29.28,22.83,14.695,14.53,13.34,14.42,1.77666666666667,4.5,7.8,6.216666667,7.866666667,6.6,0,8.2
#1011,19.44,29.71,25,19.945,19.93,17.75,18.51,18.36,18.3,9,10,9.4,8.5,9,9.8
#1012,18.49,27.78,21.83,19.335,18.49,16.56,16.945,13.2233333333333,18.22,9,9,0,7.6,9,9.8
#1013,19.71,29.34,24.92,19.84,19.83,19,16.045,3.66666666666667,14.6,10,9.8,9,8.666666667,0,9.6
#1014,19.58,29.26,24.75,18.91,18.85,16.37,17.14,6.55666666666667,18.44,9,9.75,9.266666667,7.4,7,9.8
#1015,19.37,29.96,24.92,20,19.87,19.67,19.08,15.1266666666667,18.03,10,8.6,9.4,6.6,8,10
#1016,19.62,29.72,24.92,19.945,19.33,19.34,19.055,19.2766666666667,17.88,10,8.8,8.6,9,9,9
#1017,19.42,28.53,22.17,19.875,18.56,17.47,16.59,11.6733333333333,14.22,7,9.15,0,7.6,8,7.733333333
#1018,17.92,18.57,19.08,10.935,0,11.92,12.625,.92,10.65,8,8.35,0,7,7,8.05
#1019,17.13,6.65,13.2,17.155,19.42,18.26,13.56,13.1666666666667,18.3,7.8,4.2,4.9,3.25,7,6.2
#1020,19.35,29.34,24.75,19.765,19.37,19.79,15.915,17.3866666666667,17.9,8,9.1,7.866666667,7.133333333,7,10
#1021,18.74,2.93,12.67,13.665,0,6,.25,0,0,7.4,7.4,8.6,8.6,7,10
#1022,19.71,28.16,22.42,18.695,19.44,17.08,16.175,7.56666666666667,16.19,9,9.857142857,9.8,6.3,9,7.8
#1023,19.44,27.11,24,20,19.71,18.71,17.275,17.9666666666667,16.8,9,10,8.6,7.45,7,8.933333333
#1024,19.47,29.65,25,20,19.42,19.28,19.04,18.76,16.46,10,9.8,9.5,10,8,8.933333333
#1025,19.67,29.58,24.58,18.995,18.73,18.83,17.425,15.2966666666667,11.21,8.8,9,7.4,6.15,8,9.5
#1026,19.71,28.39,21.5,19.665,16,14.79,14.62,13.85,15.12,10,9.857142857,8.933333333,6.6,9,7.066666667
#1027,19.54,29.87,25,19.945,19.67,19.28,18.925,18.75,15.52,9,10,9.4,9.466666667,9.333333333,9.2
#1028,19,29.62,24.5,20,20,19.56,18.665,19.0533333333333,18.05,9,9,9.266666667,9,8,9.133333333
#1029,19.55,27.8,24,10.59,15.78,16.36,18.13,7.68666666666667,6.13,9,6.704761905,6.8,9.8,9,8.4
#1030,18.91,25.79,20.75,19.375,16.61,14.62,14.02,4.33333333333333,.5,9.8,8.6,0,7.416666667,9,7.6
#1031,19.08,29.82,25,20,2.16,17.75,18.9,19.11,17.53,7,9.8,9.266666667,10,8,9.6
#1032,18.65,29.1,22.42,19.875,19.35,18.94,18.085,18.6666666666667,18.07,7.714285714,9.857142857,9.666666667,7.8,8,7.55
#1033,18.65,29.13,22.75,19.665,19.32,14.06,18.055,17.49,15.65,9,9.666666667,9.6,6.933333333,8,8.8
#1034,20,29.65,25,20,19.83,18.72,10.22,13.62,17.92,9.8,8.8,8.333333333,7.8,0,9.2
#1035,19.42,29.89,24.75,13.91,18.29,18.33,17.995,18.4233333333333,16.38,9,8.483333333,8.9,7,9,9
#1036,18.69,29.93,24.83,19.265,18.26,18.49,17.8,17.5,16.39,10,9.133333333,9.2,9.8,8,9.75
#1037,18.67,29.62,24.87,19.375,19.73,19.35,17.81,18.5,16.28,8,8.4,9.3,6.8,9,8.8
#1038,19.33,29.65,24.92,17.3,15.81,18.02,.25,16.05,18.13,9.666666667,8.6,9.666666667,0,6,9.6
#1039,19.29,27.79,22,18.46,18.31,18.33,15.6,16.7133333333333,14.76,8,9.8,5.8,4.2,3,0
#1040,19.21,29.64,24.83,20,19.6,19.78,19.075,19.2766666666667,18.67,8,10,9.133333333,10,9,8.6
#1041,19.08,23.77,20.83,20,18.21,19.83,18.39,18,17.96,8.8,9.75,9.5,7,7,8.8
#1042,14.97,19.69,17.75,18,19.71,12.22,9.34,3.83333333333333,11.29,10,10,10,8,6,7.6
#1043,19.36,29.61,24.83,20,19.81,19.51,17.5,18.5266666666667,17.93,9,9.857142857,8.933333333,7.2,7,9
#1044,19.11,27.91,24.08,17.98,15.78,18.92,14.13,13.2733333333333,17.29,8.8,6.15,6.466666667,4.2,3,9.666666667
#1045,19.87,29.18,24.92,20,6,18.79,16.055,15.4733333333333,17.53,9.8,9.6,8.166666667,5.8,4,4.6
#1046,19.04,28.27,24.58,19.695,19.67,18.95,18.425,16.75,17.03,8,9.6,9.333333333,8.8,8,8.6
#1047,19.52,29.62,23.92,19.5,19.62,19.19,16.7,18.3633333333333,16.32,9.8,9.4,9.4,8.8,8.666666667,10
#1048,18.82,29.75,22.92,17.92,11.51,.84,16.5,11.7733333333333,16.16,10,8.866666667,8.9,7.466666667,7,10
#1049,19.87,29.73,24.83,20,19.67,20,19.02,18.93,17.92,10,10,10,8.133333333,7,8.8
#1050,19.79,29.96,25,20,19.5,19.83,19.105,19.11,18.14,10,10,10,9.5,10,10
#1051,18.79,28.88,24.42,19.815,19.75,19.07,18.535,18.9733333333333,18.32,9,9,9.466666667,8,8,8.6
#1052,19.82,29.68,25,20,19.67,19.78,19.19,19.2966666666667,18.71,9.8,10,9.6,8,9,10
#1053,18.42,22.47,17.33,18.415,17.01,18.5,17.27,14.5733333333333,17.23,9,7.2,6.7,8.8,7,9.1
#1054,19.79,29.33,24.83,19.75,18.33,19,18.68,18.75,16.66,9.666666667,10,8.466666667,10,6.5,8.8
#1055,18.9,26.82,21.25,18.94,19.71,18.01,18.28,12.5566666666667,17.32,9,9.6,8.8,6.4,5,8.266666667
#1056,19.47,29.61,24.92,20,19.61,19.79,19.005,18.9433333333333,18.52,10,8.6,9.4,10,8,10
#1057,18.92,28.87,22.58,20,19.83,19.89,18.1,18.1933333333333,18.34,9,10,10,7.05,9,10
#1058,19,29.94,22.83,19.945,19.18,19.72,19.005,18.4933333333333,17.88,9,9.75,9,9.8,10,9.8
#1059,19.4,29.66,24.5,19.875,19.6,18.85,17.635,18.36,17.61,7,9.5,9.466666667,9.6,9,7.6
#1060,18.58,29.96,25,19.875,19.75,19.83,18.965,19.3333333333333,18.62,10,9,8.5,9,8,9.1
#1061,19.87,29.52,24.92,20,18.21,18.73,17.845,16.97,17.69,9,9.5,9,7.8,7,8.6
#1062,19.49,28.45,21.75,17.83,19.58,18.7,16.715,17.78,16.98,9,9,8.766666667,6.9,10,9
#1063,19.37,24.85,20.58,11.345,0,4,8.96,0,15.99,8,7.4,9.266666667,7,7,7.6
#1064,19.6,29.68,25,20,19.83,19.83,18.955,18.64,18.63,8.8,9.8,9.2,8.8,8,10
#1065,19.42,28.58,21.74,17.75,17.5,18.15,16.29,18.0566666666667,1,8.6,8.6,9.133333333,8.8,7,0
#1066,17.11,27.42,20,18.375,18.27,16.89,8.385,7,0,8,8.6,9.2,8.5,8,8.6
#1067,19.5,29.96,25,20,19.83,19.57,19.155,19.2766666666667,18.82,9,10,9.666666667,10,9,10
#1068,18.83,25.25,19,14.475,15.25,14.03,10.315,7.45333333333333,11.09,10,5.666666667,6.666666667,4,3,5.75
#1069,18.86,29.84,24.92,20,20,19.64,13.825,13.0266666666667,17.25,9.8,10,9.6,7.8,9.666666667,8.8
#1070,18.83,24.54,22.58,18.875,19.06,16.19,16.32,18.18,18.87,10,8.7,7.8,10,10,9.8
#1071,19.65,9.43,0,10,0,0,.25,0,0,0,0,0,0,0,0
#1072,19.25,29.72,24.58,20,19.94,19.34,19.125,19.2766666666667,17.56,8,9.8,9.3,9.666666667,9,9.6
#1073,19.33,29.48,24.92,20,19.67,18.77,18.785,16.9333333333333,17.15,9,9.6,9.25,8.8,8,9.6
#1074,18.83,29.34,22,20,19.17,16.49,17.84,12.74,14.33,9,9.5,9.2,8,7,8.4
#1075,18.32,28.51,14.52,14.62,14.45,13.77,12.855,.666666666666667,15.76,9,9.083333333,9.6,6.3,0,9.8
#1076,19.32,29.98,24.83,20,18.58,19.17,18.02,19.3033333333333,17.59,10,9.5,8.45,8.4,7,10
#1077,19.21,22.82,18.75,10.37,4.65,12.89,12.85,8.65666666666667,9.58,9,7.15,0,8.8,9,8.8
#1078,19.47,25.63,18.16,19.945,18.75,17.79,15.235,17.7166666666667,16.34,8,9.6,8.566666667,7,7,8.4
#1079,19.36,28.79,21.25,18.545,17.3,17.6,16.265,14.0366666666667,15.44,8,8,8.066666667,6.3,8.5,9.55
#1080,19.04,29.07,24.83,18.845,18.63,17.77,17.475,17.8133333333333,16.04,9,8.8,8.366666667,6.333333333,8,7.2
#1081,19.82,28.9,25,20,19.67,19.95,18.665,19,17.84,8.8,9,10,9.8,9,9.2
#1082,19.29,29.94,25,20,19.67,20,9.605,12.94,15.56,10,8.8,9,5.6,5,7.8
#1083,19.21,27.61,23.33,19.64,19.65,18.39,18.73,18.7233333333333,18.28,8.8,7.05,0,7.5,8,9
#1084,19.37,28,24.25,18.24,19.52,15.44,17.985,16.3066666666667,16.81,7.8,9.75,8.666666667,9.6,7,8.333333333
#1085,18.71,29.46,25,19.89,19.67,19.83,19.21,19,18.7,10,10,9.666666667,8.5,9,10
#1086,19.28,29.79,24.5,18,16,17.52,12.145,2,13.3,8.6,8.8,7.6,3.2,6,6.866666667
#1087,19.62,28.64,22.25,19.625,17.84,18.79,17.975,13.5366666666667,16.02,10,9,8.2,9.05,7,8.333333333
#1088,19.42,29.98,24.75,20,19.31,19.6,13.37,18.6133333333333,16.93,10,10,9.3,8.333333333,5,8.15
#1089,19.67,29.67,24.83,19.945,19.48,20,18.89,18.8566666666667,18.47,9,8.466666667,8.7,8.6,8,10
#1090,19.39,29.68,23.42,20,19.85,18.72,16.625,16.6033333333333,16.86,10,9,8.333333333,9.216666667,10,9.6
#1091,18.36,28.34,24.75,10.46,15.67,18.78,12.875,16.1966666666667,17.01,8.8,7,7.233333333,9.75,7,8
#1092,18.89,29.09,21.24,19.335,18.6,19.95,18.045,14.33,13.07,9.5,9.657142857,8.1,8,8.333333333,8.6
#1093,19.43,29.03,21,19.835,17.91,14.59,11.565,14.7233333333333,16.97,10,9.25,8.8,8,8,10
#1094,19.25,29.63,24.83,20,19.54,19.83,19.03,17.58,18.12,8.666666667,9,8.966666667,7.216666667,8,10
#1095,18.92,29.27,25,20,20,19.61,19.21,17.5833333333333,17.43,9,9.8,10,10,8,8.6
#1096,19.74,29.69,24.75,20,19.83,20,19.21,19.3333333333333,19,9,9,9.8,8,9,9.5
#1097,20,30,24.92,20,20,20,19.125,19.3333333333333,19,9,10,9.666666667,9.666666667,7,9.6
#1098,18.73,26.81,19.83,11.625,17.53,15.11,14.455,10.6166666666667,16.25,8.466666667,7.1,7.366666667,5,4,7.8
#1099,19.37,29.87,24.92,19.91,19.35,19.12,18.43,18.14,18.12,10,9.875,8.666666667,8.3,8,7.133333333
#1100,19.37,25.03,24.83,19.565,19.37,19.72,16.175,19.01,17.07,9,9,8.8,6.6,6,8
#1101,19.82,29.67,25,19.78,19.67,19.89,18.8,18.89,18.3,6.5,10,9.066666667,9.8,8,9.8
#1102,19.36,29.87,25,20,18,18.75,15.615,16.63,15.58,8.8,9,8.666666667,7.2,8,7.8
#1103,18.74,28.62,21.92,18.375,18.55,15.77,13.415,16.8266666666667,15.94,6.666666667,6.6,7.133333333,6.8,6,7.4
#1104,18.82,28.97,24.42,7.755,0,9.37,2.74,1.36666666666667,11.54,7,6.3,6.8,0,10,10
#1105,7.51,4.58,23,11.635,0,0,2.26,0,0,9.6,0,7.2,3.6,0,9.8
#1106,19.31,29.84,24.92,20,19.31,19.67,18.62,19.1666666666667,17.52,9,9.8,9.4,10,9,9.6
#1107,19.4,29.16,24.92,20,19.44,18.67,18.345,12.4566666666667,17.89,9,10,7.5,9.6,8,10
#1108,19.25,29.62,24.83,19.945,19.83,18.27,18.79,18.5266666666667,17.36,8.25,9.333333333,9.6,8.8,6,9.166666667
#1109,18.68,26.63,23.82,19.48,19.94,19.13,15.165,16.46,17.18,8,8.25,8.4,6.8,6,7.8
#1110,19.4,29.67,24.83,19.31,20,14.4,6.075,15.3266666666667,18.7,9,8,9.6,7.683333333,8,10
#1111,17.93,29.4,25,19.875,19.33,18.39,18.295,19.0266666666667,17.36,9.8,9,9.4,8.1,8,9
#1112,19.42,29.52,25,19.765,19.44,19.29,18.48,18.6666666666667,18.55,7,10,9.2,8.166666667,7,9.3
#1113,19.42,29.14,21.33,19.875,18.68,18.87,17.905,18.6033333333333,14.84,8,9.6,9.6,8.75,8,8.55
#1114,19.87,29.3,23.92,19.97,19.11,17.07,15.555,9.93,10.18,10,9.6,8.6,8.3,7.666666667,9.8
#1115,19.87,29.64,23,20,19.58,19.47,14.905,16.9433333333333,18.46,10,9.8,7.733333333,8,10,7.8
#1116,19.42,29.63,21.83,19,19.67,19.75,18.12,15.9366666666667,18.29,7,8.8,9.4,8,7,9.6
#1117,19.33,29.72,24.92,19.595,17.52,19.4,15.955,16.2766666666667,18.95,9,9.333333333,9.8,9.6,0,8.1
#1118,19.16,9.41,0,3,12.92,4,.25,0,0,8,4.704761905,8.1,0,0,0
#1119,19.07,28.88,24.75,20,19.67,18.01,17.44,16.97,13.38,9.8,9.6,7.8,6.75,10,9.6
#1120,16.93,24.31,19,10,6.54,13.51,11.55,5.55666666666667,15.03,10,0,7.766666667,6.1,8,9
#1121,18.92,29.42,24.92,19.78,19.5,19.34,18.705,18,18.6,8.666666667,9.466666667,10,8.8,8,9.133333333
#1122,18.5,29.32,24.75,20,19.67,18.82,18.75,18.6966666666667,18.06,9,9.466666667,8.166666667,7.9,10,8.8
#1123,18.75,29.89,24.75,19.78,19.71,19.32,17.96,17.4466666666667,17.98,10,10,9.3,6.6,8.2,9
#1124,18.71,29.9,0,19.685,19.83,19.34,18.96,18.9733333333333,18.92,0,9.75,8.8,9.8,8,8.166666667
#1125,18.25,28.64,24.92,16.82,19.25,18.4,17.825,15.7566666666667,18.41,9.8,9,9.466666667,9.8,7.333333333,10
#1126,19.75,29.68,24.75,19.75,19.07,20,17.705,18.1133333333333,18.62,9,8.133333333,6.6,5.65,6,8.4
#1127,17.33,27.98,20.25,11.97,13.39,14.07,9.25,.153333333333333,12.33,10,7.05,6.8,6.8,9,9.8
#1128,19.5,29.68,24.92,20,19.77,18.89,18.635,18.9733333333333,17.37,10,9.333333333,9.833333333,9.4,8,9
#1129,19.87,29.73,24.92,20,19.29,19.83,18.73,19.3066666666667,16.56,10,10,9.4,7.533333333,4,8.466666667
#1130,19.37,29.88,24.75,20,19.42,19.22,19.25,19.2766666666667,18.02,10,9.8,9.8,9,8.666666667,8.733333333
#1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1132,18.63,29.66,25,20,19.68,20,19.19,19.2833333333333,18.15,10,9.257142857,9.6,10,9,10
#1133,18.58,29.11,23.83,19.815,19.27,17.46,18.375,17.2766666666667,16.72,8.8,10,9,9,10,9
#1134,19.29,29.77,25,20,19.54,19.5,19.165,19.11,18.57,9,9.5,9.3,9.6,10,10
#1135,18.5,27.17,16.5,17.64,16.87,15.42,14.975,13.3333333333333,14.98,9.8,8.05,8.133333333,7.333333333,9,7.8
#1136,19.24,29.15,24.83,19.835,19.94,19.87,18.425,18.4733333333333,16.82,9,9.657142857,8.666666667,7.083333333,8.5,7.3
#1137,19.56,29.68,22.42,9.495,0,14.43,17.75,14.1366666666667,14.93,8,9.55,8.35,8,9.333333333,9
#1138,18.54,29.66,25,19.945,20,19,17.675,12.6466666666667,17.17,10,8.8,9.8,9,0,10
#1139,18.53,29.74,24.83,19.945,19.94,19.39,18.925,18.86,18.16,10,9.8,9.5,8.8,8,8.8
#1140,19.87,29.98,24.47,20,20,19.33,19.21,18.62,18.52,8.8,10,8.55,9.8,9,10
#1141,18.9,28.19,4.15,18.78,17.45,15.44,14.26,13.7066666666667,9.16,9.4,8.9,8.4,8.8,7.6,5.95
#1142,19.24,29.36,25,19.945,19.42,18.39,18.93,13.8333333333333,18.27,10,9.8,9.083333333,9,7,9
#1143,19.52,28.45,22.92,15.755,18.59,16.08,10.18,15.9633333333333,15.98,8,9.133333333,8.866666667,8.8,8,9.666666667
